websites,Root CA,LastInterCA
igvita.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
society6.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert ECC Extended Validation Server CA'}"
ourworldindata.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
prntscr.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
gazzetta.it,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
google.com.ly,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
interfax.ru,The USERTRUST Network,"{'C': 'RU', 'ST': 'Moscow', 'L': 'Moscow', 'O': 'RU-Center (ЗАО Региональный Сетевой Информационный Центр)', 'CN': 'RU-CENTER High Assurance Services CA 2'}"
officedepot.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
synology.com,The USERTRUST Network,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
2m.ma,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
easyjet.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Extended Validation Secure Server CA'}"
mcmaster.ca,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Extended Validation Secure Server CA'}"
ring.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
sleepfoundation.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
inhabitat.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
hivestreaming.com,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
mindbodyonline.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
freee.co.jp,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Extended Validation CA - SHA256 - G3'}"
afreecatv.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Thawte RSA CA 2018'}"
kodak.com,"Entrust, Inc.","{'C': 'US', 'O': 'Entrust, Inc.', 'OU': '(c) 2012 Entrust, Inc. - for authorized use only', 'CN': 'Entrust Certification Authority - L1K'}"
nouvelobs.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Atlas R3 DV TLS CA 2020'}"
rpi.edu,The USERTRUST Network,"{'C': 'US', 'ST': 'MI', 'L': 'Ann Arbor', 'O': 'Internet2', 'OU': 'InCommon', 'CN': 'InCommon RSA Server CA'}"
pagesperso-orange.fr,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
justpaste.it,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
poshmark.com,"Entrust, Inc.","{'C': 'US', 'O': 'Entrust, Inc.', 'OU': '(c) 2009 Entrust, Inc. - for authorized use only', 'CN': 'Entrust Root Certification Authority - G2'}"
caliente.mx,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
heritage.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
meti.go.jp,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign RSA OV SSL CA 2018'}"
lazada.vn,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Organization Validation CA - SHA256 - G2'}"
sendinblue.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
otto.de,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert EV RSA CA G2'}"
fararu.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
peta.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
classlink.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
umontreal.ca,"Entrust, Inc.","{'C': 'US', 'O': 'Entrust, Inc.', 'OU': '(c) 2012 Entrust, Inc. - for authorized use only', 'CN': 'Entrust Certification Authority - L1K'}"
uu.se,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
meduza.io,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
seattlepi.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign CloudSSL CA - SHA256 - G3'}"
sc.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
adrta.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
fantasypros.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
krakow.pl,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
penzu.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
mendeley.com,SecureTrust Corporation,"{'C': 'US', 'ST': 'Illinois', 'L': 'Chicago', 'O': 'Trustwave Holdings, Inc.', 'CN': 'Trustwave Organization Validation SHA256 CA, Level 1', 'emailAddress': 'ca@trustwave.com'}"
vietnamnet.vn,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert TLS RSA SHA256 2020 CA1'}"
ons.gov.uk,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
sudannews365.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
elyamnelaraby.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
sony.net,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
zingmp3.vn,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
marketingland.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
shell.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
kff.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
mathsisfun.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
commondreams.org,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Extended Validation Secure Server CA'}"
alayam24.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
fmprc.gov.cn,China Financial Certification Authority,"{'C': 'CN', 'O': 'China Financial Certification Authority', 'CN': 'CFCA OV OCA'}"
cic.gc.ca,"Entrust, Inc.","{'C': 'US', 'O': 'Entrust, Inc.', 'OU': '(c) 2012 Entrust, Inc. - for authorized use only', 'CN': 'Entrust Certification Authority - L1K'}"
docdroid.net,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
agenziaentrate.gov.it,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
kafan.cn,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
svc.ms,Baltimore,"{'C': 'US', 'O': 'Microsoft Corporation', 'CN': 'Microsoft RSA TLS CA 01'}"
courant.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
sportingnews.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
open.ac.uk,QuoVadis Limited,"{'C': 'NL', 'O': 'QuoVadis Trustlink B.V.', 'CN': 'QuoVadis Europe EV SSL CA G1'}"
legifrance.gouv.fr,Dhimyotis,"{'C': 'FR', 'O': 'DHIMYOTIS', 'OU': '0002 48146308100036', 'organizationIdentifier': 'NTRFR-48146308100036', 'CN': 'Certigna Services CA'}"
businessnewsdaily.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
maine.gov,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1'}"
mobile01.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign RSA OV SSL CA 2018'}"
sentry.io,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
classdojo.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
rferl.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
nybooks.com,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
haber7.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
overdrive.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
ui.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
picuki.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
derstandard.at,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
filehorse.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
rebelmouse.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign CloudSSL CA - SHA256 - G3'}"
clickbank.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
kissmetrics.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
intentiq.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
mango.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
tf1.fr,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign RSA OV SSL CA 2018'}"
sportskeeda.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
unodc.org,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'COMODO CA Limited', 'CN': 'COMODO RSA Organization Validation Secure Server CA'}"
lucidchart.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
launchdarkly.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
alamy.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
slader.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
9r.cn,DigiCert Inc,"{'C': 'CN', 'O': 'TrustAsia Technologies, Inc.', 'OU': 'Domain Validated SSL', 'CN': 'TrustAsia TLS RSA CA'}"
youzan.com,"GoDaddy.com, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
gm.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert TLS Hybrid ECC SHA384 2020 CA1'}"
skycn.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Organization Validation CA - SHA256 - G2'}"
edweek.org,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
r-project.org,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
superhaber.tv,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'AlphaSSL CA - SHA256 - G2'}"
dable.io,The USERTRUST Network,"{'C': 'FR', 'ST': 'Paris', 'L': 'Paris', 'O': 'Gandi', 'CN': 'Gandi Standard SSL CA 2'}"
google.lt,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
zamzar.com,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
okaz.com.sa,"Starfield Technologies, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'Starfield Technologies, Inc.', 'OU': 'http://certs.starfieldtech.com/repository/', 'CN': 'Starfield Secure Certificate Authority - G2'}"
bt.cn,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
ispconfig.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
vam.ac.uk,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
owasp.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
animoto.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
313.cn,DigiCert Inc,"{'C': 'CN', 'O': 'TrustAsia Technologies, Inc.', 'OU': 'Domain Validated SSL', 'CN': 'TrustAsia TLS RSA CA'}"
glassdoor.co.in,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
masterpapers.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
liftoff.io,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
care2.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
audioboom.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
tilda.ws,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
getty.edu,The USERTRUST Network,"{'C': 'US', 'ST': 'New Jersey', 'L': 'Jersey City', 'O': 'The USERTRUST Network', 'CN': 'USERTrust RSA Certification Authority'}"
microsoft.net,Baltimore,"{'C': 'US', 'O': 'Microsoft Corporation', 'CN': 'Microsoft RSA TLS CA 01'}"
allocine.fr,Comodo CA Limited,"{'C': 'FR', 'ST': 'Paris', 'L': 'Paris', 'O': 'Gandi', 'CN': 'Gandi Standard SSL CA 2'}"
digiday.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Atlas R3 DV TLS CA 2020'}"
inven.co.kr,The USERTRUST Network,"{'C': 'US', 'ST': 'New Jersey', 'L': 'Jersey City', 'O': 'The USERTRUST Network', 'CN': 'USERTrust RSA Certification Authority'}"
york.ac.uk,QuoVadis Limited,"{'C': 'NL', 'O': 'QuoVadis Trustlink B.V.', 'CN': 'QuoVadis Europe EV SSL CA G1'}"
google.com.do,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
openedition.org,The USERTRUST Network,"{'C': 'FR', 'ST': 'Paris', 'L': 'Paris', 'O': 'Gandi', 'CN': 'Gandi Standard SSL CA 2'}"
marketplace.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
newsvine.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
pullcm.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'RapidSSL RSA CA 2018'}"
klikbca.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
zoosnet.net,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1'}"
trust.org,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
medrxiv.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
slashgear.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
nghttp2.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
tarafdari.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
tagged.com,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Organization Validation Secure Server CA'}"
pdffiller.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert TLS RSA SHA256 2020 CA1'}"
sheknows.com,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign CloudSSL CA - SHA256 - G3'}"
beauty321.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
outsideonline.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
dnaindia.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
nbcnewyork.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
sports.ru,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
vip.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'Secure Site Pro ECC CA G2'}"
nolo.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
1377x.to,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
sharefile.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
akhbarelyom.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
petapixel.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
thinkific.com,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
aif.ru,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'GeoTrust RSA CA 2018'}"
mic.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
pushails.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
daringfireball.net,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
schema.org,GlobalSign,"{'C': 'US', 'O': 'Google Trust Services', 'CN': 'GTS CA 1O1'}"
flvto.biz,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1'}"
zoomit.ir,Unizeto Sp. z o.o.,"{'C': 'PL', 'O': 'Unizeto Technologies S.A.', 'OU': 'Certum Certification Authority', 'CN': 'Certum Domain Validation CA SHA2'}"
kth.se,The USERTRUST Network,"{'C': 'NL', 'O': 'GEANT Vereniging', 'CN': 'GEANT EV RSA CA 4'}"
st-andrews.ac.uk,Comodo CA Limited,"{'C': 'NL', 'O': 'GEANT Vereniging', 'CN': 'GEANT OV RSA CA 4'}"
akc.org,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
gatesfoundation.org,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 High Assurance Server CA'}"
stlouisfed.org,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'DigiCert SHA2 Secure Server CA'}"
toptal.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
lexico.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
netcraft.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
handle.net,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
mlit.go.jp,"SECOM Trust Systems CO.,LTD.","{'C': 'JP', 'O': 'SECOM Trust Systems CO.,LTD.', 'CN': 'SECOM Passport for Web SR 3.0 CA'}"
aip.org,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
mundodeportivo.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert Secure Site ECC CA-1'}"
1password.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
itunes.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert, Inc.', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA-3'}"
edupage.org,GlobalSign nv-sa,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'AlphaSSL CA - SHA256 - G2'}"
studfile.net,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
xataka.com,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
itau.com.br,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'OU': 'www.digicert.com', 'CN': 'DigiCert SHA2 Extended Validation Server CA'}"
viu.com,GlobalSign,"{'C': 'BE', 'O': 'GlobalSign nv-sa', 'CN': 'GlobalSign Extended Validation CA - SHA256 - G3'}"
futurism.com,Digital Signature Trust Co.,"{'C': 'US', 'O': ""Let's Encrypt"", 'CN': 'R3'}"
payforessay.net,Comodo CA Limited,"{'C': 'GB', 'ST': 'Greater Manchester', 'L': 'Salford', 'O': 'Sectigo Limited', 'CN': 'Sectigo RSA Domain Validation Secure Server CA'}"
mhtwyat.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
diariolibre.com,DigiCert Inc,"{'C': 'US', 'O': 'DigiCert Inc', 'CN': 'GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1'}"
overleaf.com,"The Go Daddy Group, Inc.","{'C': 'US', 'ST': 'Arizona', 'L': 'Scottsdale', 'O': 'GoDaddy.com, Inc.', 'OU': 'http://certs.godaddy.com/repository/', 'CN': 'Go Daddy Secure Certificate Authority - G2'}"
freejobalert.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
futurelearn.com,Baltimore,"{'C': 'US', 'O': 'Cloudflare, Inc.', 'CN': 'Cloudflare Inc ECC CA-3'}"
immobilienscout24.de,"Starfield Technologies, Inc.","{'C': 'US', 'O': 'Amazon', 'OU': 'Server CA 1B', 'CN': 'Amazon'}"
